"Brand";"Model";"FullSpeed";"FullAcceleration";"FullHandling";"FullNitro";"FullUpgrade";"FullCommon";"FullRare";"FullEpic";"FullImport";"FullStar1";"FullStar2";"FullStar3";"FullStar4";"FullStar5";"FullStar6";"FullBlueprint";"FullEvo";"ToInstallSpeed";"ToInstallAcceleration";"ToInstallHandling";"ToInstallNitro";"ToInstallUpgrade";"ToInstallCommon";"ToInstallRare";"ToInstallEpic";"ToInstallImport";"ToUnblock";"ToGold"
"Acura";"2017 NSX";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aston Martin";"Vulcan";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aston Martin";"DB11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BMW";"M4 GTS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BMW";"Z4 LCI E89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BMW";"3.0 CSL Hommage";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bugatti";"Chiron";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cadillac";"Cien Concept";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chevrolet";"Camaro LT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chevrolet";"Camaro ZL1 50th Edition";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chevrolet";"Corvette Grand Sport";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dodge";"Challenger Pack 392 Hemi Scat";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dodge";"Challenger SRT8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dodge";"Viper ACR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
